No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,,Delta Diff1,Delta Diff2,Delta Diff3,Delta Diff4,Delta Diff5,Delta Diff6,,,Guess1,Guess2,Guess3,Guess4,Guess5,Guess6,Sum,Check1,Check2,Check3,Check4,Check5,Check6
2372, Sat,15,Sep,2018,25,42,48,50,55,58,44,,25,17,6,2,5,3,,14,16,5,1,-35,1,,,2,2,2,8,11,11,36,2,4,4,10,19,22
2371, Wed,12,Sep,2018,11,12,13,14,54,56,36,,11,1,1,1,40,2,,4,-11,-13,0,22,1,,,1,2,2,8,12,12,37,1,3,4,10,20,24
2370, Sat,8,Sep,2018,7,19,33,34,52,53,48,,7,12,14,1,18,1,,-5,6,10,0,-7,-10,,,4,2,8,7,12,14,47,4,6,10,15,19,26
2369, Wed,5,Sep,2018,12,18,22,23,48,59,47,,12,6,4,1,25,11,,9,-12,3,-15,17,2,,,1,3,8,7,14,8,41,1,4,11,15,21,22
2368, Sat,1,Sep,2018,3,21,22,38,46,55,50,,3,18,1,16,8,9,,-16,14,-6,-4,7,6,,,2,4,5,8,15,14,48,2,6,9,13,23,29
2367, Wed,29,Aug,2018,19,23,30,50,51,54,55,,19,4,7,20,1,3,,10,-9,-4,14,-1,-12,,,3,2,1,9,11,16,42,3,5,3,10,20,27
2366, Sat,25,Aug,2018,9,22,33,39,41,56,48,,9,13,11,6,2,15,,-6,8,10,2,-7,2,,,1,8,5,9,15,12,50,1,9,13,14,24,27
2365, Wed,22,Aug,2018,15,20,21,25,34,47,36,,15,5,1,4,9,13,,14,4,-3,-2,8,-29,,,5,1,5,9,12,10,42,5,6,6,14,21,22
2364, Sat,18,Aug,2018,1,2,6,12,13,55,11,,1,1,4,6,1,42,,-2,-24,-2,-1,-6,32,,,5,5,4,8,8,8,38,5,10,9,12,16,16
2363, Wed,15,Aug,2018,3,28,34,41,48,58,54,,3,25,6,7,7,10,,2,23,-1,-1,6,-8,,,2,6,8,8,12,11,47,2,8,14,16,20,23
2362, Sat,11,Aug,2018,1,3,10,18,19,37,57,,1,2,7,8,1,18,,-7,-9,6,1,-3,15,,,1,3,3,9,15,8,39,1,4,6,12,24,23
2361, Wed,8,Aug,2018,8,19,20,27,31,34,7,,8,11,1,7,4,3,,3,-1,-5,5,-5,-14,,,5,5,4,8,9,13,44,5,10,9,12,17,22
2360, Sat,4,Aug,2018,5,17,23,25,34,51,52,,5,12,6,2,9,17,,-10,10,5,-14,-3,9,,,3,7,5,8,14,14,51,3,10,12,13,22,28
2359, Wed,1,Aug,2018,15,17,18,34,46,54,4,,15,2,1,16,12,8,,4,-16,-1,15,6,1,,,2,1,2,8,12,16,41,2,3,3,10,20,28
2358, Sat,28,Jul,2018,11,29,31,32,38,45,10,,11,18,2,1,6,7,,6,4,1,-2,-1,-6,,,3,7,7,8,15,15,55,3,10,14,15,23,30
2357, Wed,25,Jul,2018,5,19,20,23,30,43,6,,5,14,1,3,7,13,,-4,10,-2,-6,-8,7,,,2,5,3,9,11,16,46,2,7,8,12,20,27
2356, Sat,21,Jul,2018,9,13,16,25,40,46,52,,9,4,3,9,15,6,,-13,-8,-7,4,13,4,,,1,5,6,7,16,14,49,1,6,11,13,23,30
2355, Wed,18,Jul,2018,22,34,44,49,51,53,33,,22,12,10,5,2,2,,18,8,5,-8,-13,-12,,,5,4,1,7,9,11,37,5,9,5,8,16,20
2354, Sat,14,Jul,2018,4,8,13,26,41,55,58,,4,4,5,13,15,14,,-4,1,-1,5,7,1,,,3,7,6,9,10,8,43,3,10,13,15,19,18
2353, Wed,11,Jul,2018,8,11,17,25,33,46,13,,8,3,6,8,8,13,,-9,2,-5,-11,4,11,,,1,5,1,7,10,9,33,1,6,6,8,17,19
2352, Sat,7,Jul,2018,17,18,29,48,52,54,1,,17,1,11,19,4,2,,9,-4,2,-5,-2,-4,,,2,3,5,7,15,13,45,2,5,8,12,22,28
2351, Wed,4,Jul,2018,8,13,22,46,52,58,7,,8,5,9,24,6,6,,2,-17,5,11,5,3,,,3,8,7,9,15,14,56,3,11,15,16,24,29
2350, Sat,30,Jun,2018,6,28,32,45,46,49,50,,6,22,4,13,1,3,,2,-15,0,4,-2,2,,,2,1,6,7,9,13,38,2,3,7,13,16,22
2349, Wed,27,Jun,2018,4,41,45,54,57,58,26,,4,37,4,9,3,1,,3,28,-1,-1,-3,-15,,,1,7,8,9,10,12,47,1,8,15,17,19,22
2348, Sat,23,Jun,2018,1,10,15,25,31,47,53,,1,9,5,10,6,16,,-14,2,1,1,0,14,,,1,6,7,7,15,12,48,1,7,13,14,22,27
2347, Wed,20,Jun,2018,15,22,26,35,41,43,1,,15,7,4,9,6,2,,5,-1,-14,8,2,-3,,,3,7,6,7,14,11,48,3,10,13,13,21,25
2346, Sat,16,Jun,2018,10,18,36,37,41,46,8,,10,8,18,1,4,5,,5,-2,11,-10,-1,-2,,,2,6,3,8,11,13,43,2,8,9,11,19,24
2345, Wed,13,Jun,2018,5,15,22,33,38,45,11,,5,10,7,11,5,7,,2,-4,4,-24,4,5,,,3,3,4,7,12,8,37,3,6,7,11,19,20
2344, Sat,9,Jun,2018,3,17,20,55,56,58,57,,3,14,3,35,1,2,,-9,4,-6,31,-6,-14,,,1,6,3,9,10,8,37,1,7,9,12,19,18
2343, Wed,6,Jun,2018,12,22,31,35,42,58,55,,12,10,9,4,7,16,,8,-18,3,-1,-1,9,,,3,6,1,8,8,10,36,3,9,7,9,16,18
2342, Sat,2,Jun,2018,4,32,38,43,51,58,10,,4,28,6,5,8,7,,0,27,3,-13,2,0,,,2,3,6,7,15,15,48,2,5,9,13,22,30
2341, Wed,30,May,2018,4,5,8,26,32,39,16,,4,1,3,18,6,7,,-5,-4,-2,8,-4,6,,,1,4,7,9,13,13,47,1,5,11,16,22,26
2340, Sat,26,May,2018,9,14,19,29,39,40,3,,9,5,5,10,10,1,,8,-9,3,-5,6,-8,,,3,5,8,9,15,14,54,3,8,13,17,24,29
2339, Wed,23,May,2018,1,15,17,32,36,45,5,,1,14,2,15,4,9,,0,12,-29,13,-8,5,,,2,7,2,9,15,11,46,2,9,9,11,24,26
2338, Sat,19,May,2018,1,3,34,36,48,52,22,,1,2,31,2,12,4,,-3,-16,27,-4,-4,-2,,,1,8,1,7,9,16,42,1,9,9,8,16,25
2337, Wed,16,May,2018,4,22,26,32,48,54,57,,4,18,4,6,16,6,,3,4,-2,-3,11,-3,,,3,5,5,7,12,10,42,3,8,10,12,19,22
2336, Sat,12,May,2018,1,15,21,30,35,44,5,,1,14,6,9,5,9,,-17,11,2,4,-21,6,,,4,4,5,8,10,10,41,4,8,9,13,18,20
2335, Wed,9,May,2018,18,21,25,30,56,59,5,,18,3,4,5,26,3,,16,-4,-1,-30,23,-1,,,5,5,6,7,9,8,40,5,10,11,13,16,17
2334, Sat,5,May,2018,2,9,14,49,52,56,41,,2,7,5,35,3,4,,-2,3,3,19,-9,-6,,,1,1,8,9,9,12,40,1,2,9,17,18,21
2333, Wed,2,May,2018,4,8,10,26,38,48,41,,4,4,2,16,12,10,,1,-4,-24,15,7,9,,,1,6,4,7,16,15,49,1,7,10,11,23,31
2332, Sat,28,Apr,2018,3,11,37,38,43,44,20,,3,8,26,1,5,1,,-2,-1,22,-21,4,-8,,,4,7,8,9,10,8,46,4,11,15,17,19,18
2331, Wed,25,Apr,2018,5,14,18,40,41,50,12,,5,9,4,22,1,9,,3,3,3,19,-7,-28,,,2,6,4,7,10,10,39,2,8,10,11,17,20
2330, Sat,21,Apr,2018,2,8,9,12,20,57,38,,2,6,1,3,8,37,,-2,-1,-9,-15,6,19,,,4,4,2,8,14,14,46,4,8,6,10,22,28
2329, Wed,18,Apr,2018,4,11,21,39,41,59,58,,4,7,10,18,2,18,,-6,-23,8,14,1,17,,,3,6,1,7,11,16,44,3,9,7,8,18,27
2328, Sat,14,Apr,2018,10,40,42,46,47,48,38,,10,30,2,4,1,1,,-11,26,-5,-16,-3,-2,,,1,4,4,8,8,12,37,1,5,8,12,16,20
2327, Wed,11,Apr,2018,21,25,32,52,56,59,28,,21,4,7,20,4,3,,20,1,-20,18,-15,0,,,1,6,1,7,10,9,34,1,7,7,8,17,19
2326, Sat,7,Apr,2018,1,4,31,33,52,55,13,,1,3,27,2,19,3,,0,-5,21,-9,7,-2,,,3,8,5,8,9,12,45,3,11,13,13,17,21
2325, Wed,4,Apr,2018,1,9,15,26,38,43,14,,1,8,6,11,12,5,,-5,6,-6,5,3,4,,,5,2,6,7,12,9,41,5,7,8,13,19,21
2324, Sat,31,Mar,2018,6,8,20,26,35,36,39,,6,2,12,6,9,1,,4,-2,11,-2,-28,-1,,,3,3,2,7,13,8,36,3,6,5,9,20,21
2323, Wed,28,Mar,2018,2,6,7,15,52,54,45,,2,4,1,8,37,2,,-1,-4,-4,-12,30,-14,,,3,1,3,9,11,10,37,3,4,4,12,20,21
2322, Sat,24,Mar,2018,3,11,16,36,43,59,49,,3,8,5,20,7,16,,1,-25,-4,13,4,15,,,2,7,4,7,8,8,36,2,9,11,11,15,16
2321, Wed,21,Mar,2018,2,35,44,51,54,55,45,,2,33,9,7,3,1,,-5,32,4,-4,-18,0,,,3,4,4,7,13,16,47,3,7,8,11,20,29
2320, Sat,17,Mar,2018,7,8,13,24,45,46,39,,7,1,5,11,21,1,,0,-11,-14,4,19,-5,,,2,4,6,7,13,14,46,2,6,10,13,20,27
2319, Wed,14,Mar,2018,7,19,38,45,47,53,15,,7,12,19,7,2,6,,4,8,-10,1,-9,0,,,4,5,7,7,8,12,43,4,9,12,14,15,20
2318, Sat,10,Mar,2018,3,7,36,42,53,59,50,,3,4,29,6,11,6,,-5,2,17,-9,-7,4,,,4,3,3,9,8,10,37,4,7,6,12,17,18
2317, Wed,7,Mar,2018,8,10,22,37,55,57,29,,8,2,12,15,18,2,,-7,-2,11,6,5,-6,,,3,1,6,9,10,11,40,3,4,7,15,19,21
2316, Sat,3,Mar,2018,15,19,20,29,42,50,36,,15,4,1,9,13,8,,6,3,-16,6,10,-4,,,1,3,8,9,11,12,44,1,4,11,17,20,23
2315, Wed,28,Feb,2018,9,10,27,30,33,45,29,,9,1,17,3,3,12,,7,-8,-7,-2,-5,5,,,3,3,1,8,14,13,42,3,6,4,9,22,27
2314, Sat,24,Feb,2018,2,11,35,40,48,55,7,,2,9,24,5,8,7,,-12,-2,20,4,3,-11,,,1,8,6,7,14,14,50,1,9,14,13,21,28
2313, Wed,21,Feb,2018,14,25,29,30,35,53,38,,14,11,4,1,5,18,,9,8,3,0,-23,3,,,2,5,7,9,8,11,42,2,7,12,16,17,19
2312, Sat,17,Feb,2018,5,8,9,10,38,53,56,,5,3,1,1,28,15,,3,-3,-24,-12,26,13,,,3,5,7,8,8,15,46,3,8,12,15,16,23
2311, Wed,14,Feb,2018,2,8,33,46,48,50,5,,2,6,25,13,2,2,,-1,-3,22,-1,-20,-5,,,4,8,8,8,10,8,46,4,12,16,16,18,18
2310, Sat,10,Feb,2018,3,12,15,29,51,58,13,,3,9,3,14,22,7,,-2,-5,-7,9,16,2,,,2,1,1,7,10,13,34,2,3,2,8,17,23
2309, Wed,7,Feb,2018,5,19,29,34,40,45,57,,5,14,10,5,6,5,,-3,-4,9,3,-14,-4,,,4,8,8,8,14,12,54,4,12,16,16,22,26
2308, Sat,3,Feb,2018,8,26,27,29,49,58,38,,8,18,1,2,20,9,,3,4,-1,-19,18,-4,,,1,1,7,7,10,9,35,1,2,8,14,17,19
2307, Wed,31,Jan,2018,5,19,21,42,44,57,18,,5,14,2,21,2,13,,-24,10,-8,19,-2,6,,,2,7,5,9,8,16,47,2,9,12,14,17,24
2306, Sat,27,Jan,2018,29,33,43,45,49,56,16,,29,4,10,2,4,7,,28,-17,-7,-3,0,-4,,,4,3,4,8,8,10,37,4,7,7,12,16,18
2305, Wed,24,Jan,2018,1,22,39,44,48,59,5,,1,21,17,5,4,11,,-1,13,8,-4,3,9,,,2,4,1,7,12,10,36,2,6,5,8,19,22
2304, Sat,20,Jan,2018,2,10,19,28,29,31,47,,2,8,9,9,1,2,,-28,5,5,3,-11,1,,,5,8,2,9,8,10,42,5,13,10,11,17,18
2303, Wed,17,Jan,2018,30,33,37,43,55,56,46,,30,3,4,6,12,1,,24,2,2,-3,-5,-10,,,4,4,5,9,12,8,42,4,8,9,14,21,20
2302, Sat,13,Jan,2018,6,7,9,18,35,46,5,,6,1,2,9,17,11,,0,-4,-14,7,6,-4,,,4,5,2,8,13,14,46,4,9,7,10,21,27
2301, Wed,10,Jan,2018,6,11,27,29,40,55,45,,6,5,16,2,11,15,,-12,-5,13,1,-1,8,,,1,8,1,7,15,12,44,1,9,9,8,22,27
2300, Sat,6,Jan,2018,18,28,31,32,44,51,50,,18,10,3,1,12,7,,7,2,2,-9,7,-7,,,2,2,1,7,16,13,41,2,4,3,8,23,29
2299, Wed,3,Jan,2018,11,19,20,30,35,49,44,,11,8,1,10,5,14,,-22,4,-4,5,-3,11,,,2,1,4,9,14,9,39,2,3,5,13,23,23
2298, Sat,30,Dec,2017,33,37,42,47,55,58,34,,33,4,5,5,8,3,,15,-14,-7,-4,7,2,,,4,6,1,9,16,13,49,4,10,7,10,25,29
2297, Wed,27,Dec,2017,18,36,48,57,58,59,50,,18,18,12,9,1,1,,-2,6,8,1,-2,-8,,,3,5,7,8,11,10,44,3,8,12,15,19,21
2296, Sat,23,Dec,2017,20,32,36,44,47,56,41,,20,12,4,8,3,9,,10,2,-4,-2,0,4,,,5,4,3,8,8,14,42,5,9,7,11,16,22
2295, Wed,20,Dec,2017,10,20,28,38,41,46,16,,10,10,8,10,3,5,,-12,7,-2,0,2,-6,,,4,6,8,7,10,14,49,4,10,14,15,17,24
2294, Sat,16,Dec,2017,22,25,35,45,46,57,14,,22,3,10,10,1,11,,16,-5,1,9,-18,-4,,,4,5,4,8,16,16,53,4,9,9,12,24,32
2293, Wed,13,Dec,2017,6,14,23,24,43,58,40,,6,8,9,1,19,15,,4,-22,4,-1,12,7,,,2,1,2,9,14,9,37,2,3,3,11,23,23
2292, Sat,9,Dec,2017,2,32,37,39,46,54,19,,2,30,5,2,7,8,,-1,14,0,-5,-12,6,,,5,8,6,8,13,9,49,5,13,14,14,21,22
2291, Wed,6,Dec,2017,3,19,24,31,50,52,16,,3,16,5,7,19,2,,-1,11,1,-12,5,-2,,,1,2,8,7,8,10,36,1,3,10,15,15,18
2290, Sat,2,Dec,2017,4,9,13,32,46,50,52,,4,5,4,19,14,4,,-16,-7,-6,18,4,-1,,,2,2,1,7,10,13,35,2,4,3,8,17,23
2289, Wed,29,Nov,2017,20,32,42,43,53,58,8,,20,12,10,1,10,5,,16,9,-12,-15,1,3,,,5,1,4,7,14,11,42,5,6,5,11,21,25
2288, Sat,25,Nov,2017,4,7,29,45,54,56,8,,4,3,22,16,9,2,,2,-11,21,6,0,1,,,3,5,6,8,11,13,46,3,8,11,14,19,24
2287, Wed,22,Nov,2017,2,16,17,27,36,37,42,,2,14,1,10,9,1,,1,-5,-3,-2,-9,-3,,,3,1,8,7,13,8,40,3,4,9,15,20,21
2286, Sat,18,Nov,2017,1,20,24,36,54,58,11,,1,19,4,12,18,4,,-1,10,-7,-2,3,-4,,,4,8,1,9,16,8,46,4,12,9,10,25,24
2285, Wed,15,Nov,2017,2,11,22,36,51,59,7,,2,9,11,14,15,8,,-2,-3,0,11,4,0,,,5,1,3,7,10,15,41,5,6,4,10,17,25
2284, Sat,11,Nov,2017,4,16,27,30,41,49,54,,4,12,11,3,11,8,,2,-3,3,-4,1,1,,,4,6,2,8,16,12,48,4,10,8,10,24,28
2283, Wed,8,Nov,2017,2,17,25,32,42,49,4,,2,15,8,7,10,7,,-4,1,5,1,4,-11,,,2,1,4,7,16,12,42,2,3,5,11,23,28
2282, Sat,4,Nov,2017,6,20,23,29,35,53,57,,6,14,3,6,6,18,,-7,13,-1,5,4,3,,,2,4,1,8,16,12,43,2,6,5,9,24,28
2281, Wed,1,Nov,2017,13,14,18,19,21,36,53,,13,1,4,1,2,15,,5,-6,-14,-8,-11,12,,,1,6,7,7,13,13,47,1,7,13,14,20,26
2280, Sat,28,Oct,2017,8,15,33,42,55,58,53,,8,7,18,9,13,3,,7,5,10,-17,1,-6,,,1,8,2,9,8,13,41,1,9,10,11,17,21
2279, Wed,25,Oct,2017,1,3,11,37,49,58,21,,1,2,8,26,12,9,,-2,-26,2,22,9,-6,,,1,8,5,7,9,11,41,1,9,13,12,16,20
2278, Sat,21,Oct,2017,3,31,37,41,44,59,32,,3,28,6,4,3,15,,-8,27,3,-3,-2,-2,,,4,8,3,9,11,8,43,4,12,11,12,20,19
2277, Wed,18,Oct,2017,11,12,15,22,27,44,7,,11,1,3,7,5,17,,5,-15,-15,4,1,6,,,3,7,8,7,16,15,56,3,10,15,15,23,31
2276, Sat,14,Oct,2017,6,22,40,43,47,58,42,,6,16,18,3,4,11,,-11,-5,7,-2,3,10,,,5,4,8,9,8,14,48,5,9,12,17,17,22
2275, Wed,11,Oct,2017,17,38,49,54,55,56,13,,17,21,11,5,1,1,,2,16,1,-2,-9,-3,,,5,8,8,9,16,12,58,5,13,16,17,25,28
2274, Sat,7,Oct,2017,15,20,30,37,47,51,21,,15,5,10,7,10,4,,3,-3,-2,1,0,-2,,,1,2,4,9,12,15,43,1,3,6,13,21,27
